time,initial_players,area,mobility_speed,seed,avg_killed_opponents,winner_killed_opponents
0.5,2.0,3.0,2.0,59.0,0.5,1.0
0.5,2.0,3.0,2.0,21.0,0.5,1.0
0.5,2.0,3.0,2.0,74.0,0.5,1.0
1.0,2.0,3.0,2.0,79.0,0.5,1.0
0.5,2.0,3.0,2.0,94.0,0.5,1.0
0.5,2.0,3.0,2.0,73.0,0.5,1.0
0.5,2.0,3.0,2.0,55.0,0.5,1.0
1.0,2.0,3.0,2.0,29.0,0.5,1.0
1.5,2.0,3.0,2.0,61.0,0.5,1.0
2.5,2.0,3.0,2.0,56.0,0.5,1.0
1.5,2.0,3.0,2.0,15.0,0.5,1.0
1.5,2.0,3.0,2.0,61.0,0.5,1.0
1.0,2.0,3.0,2.0,96.0,0.5,1.0
0.3333333333333333,2.0,3.0,3.0,5.0,0.5,1.0
0.3333333333333333,2.0,3.0,3.0,37.0,0.5,1.0
0.6666666666666666,2.0,3.0,3.0,31.0,0.5,1.0
2.6666666666666665,2.0,3.0,3.0,41.0,0.5,1.0
1.0,2.0,3.0,3.0,45.0,0.5,1.0
0.3333333333333333,2.0,3.0,3.0,34.0,0.5,1.0
0.3333333333333333,2.0,3.0,3.0,8.0,0.5,1.0
1.0,2.0,3.0,3.0,97.0,0.5,1.0
0.3333333333333333,2.0,3.0,3.0,49.0,0.5,1.0
0.6666666666666666,2.0,3.0,3.0,96.0,0.5,1.0
1.0,2.0,3.0,3.0,43.0,0.5,1.0
0.3333333333333333,2.0,3.0,3.0,62.0,0.5,1.0
0.6666666666666666,2.0,3.0,3.0,71.0,0.5,1.0
0.3333333333333333,2.0,3.0,3.0,65.0,0.5,1.0
0.3333333333333333,2.0,3.0,3.0,26.0,0.5,1.0
0.3333333333333333,2.0,3.0,3.0,72.0,0.5,1.0
0.6666666666666666,2.0,3.0,3.0,71.0,0.5,1.0
0.3333333333333333,2.0,3.0,3.0,59.0,0.5,1.0
0.3333333333333333,2.0,3.0,3.0,21.0,0.5,1.0
0.3333333333333333,2.0,3.0,3.0,74.0,0.5,1.0
0.6666666666666666,2.0,3.0,3.0,79.0,0.5,1.0
0.3333333333333333,2.0,3.0,3.0,94.0,0.5,1.0
0.3333333333333333,2.0,3.0,3.0,73.0,0.5,1.0
0.3333333333333333,2.0,3.0,3.0,55.0,0.5,1.0
0.6666666666666666,2.0,3.0,3.0,29.0,0.5,1.0
1.0,2.0,3.0,3.0,61.0,0.5,1.0
1.6666666666666667,2.0,3.0,3.0,56.0,0.5,1.0
1.0,2.0,3.0,3.0,15.0,0.5,1.0
1.0,2.0,3.0,3.0,61.0,0.5,1.0
0.6666666666666666,2.0,3.0,3.0,96.0,0.5,1.0
1.0,3.0,3.0,1.0,5.0,0.6666666666666666,1.0
1.0,3.0,3.0,1.0,37.0,0.6666666666666666,2.0
1.0,3.0,3.0,1.0,31.0,0.6666666666666666,1.0
3.0,3.0,3.0,1.0,41.0,0.6666666666666666,2.0
2.0,3.0,3.0,1.0,45.0,0.6666666666666666,2.0
9.0,3.0,3.0,1.0,34.0,0.6666666666666666,1.0
